acronym,value,value_mean,value_ipsi,value_contra,value_left,value_right,is_seed,tract_experiment_id
SPF,0.013992557660491109,0.013992557660491109,0.0065036853020856876,0.021481430018896526,0.0065036853020856876,0.021481430018896526,False,583747816
SPFm,0.01467747713458317,0.01467747713458317,0.009021558500176908,0.020333395752071593,0.009021558500176908,0.020333395752071593,False,583747816
SPFp,0.013636822766378297,0.013636822766378297,0.0051959469884177946,0.022077698603405166,0.0051959469884177946,0.022077698603405166,False,583747816
SPIV,6.0969251120175874e-05,6.0969251120175874e-05,7.390097162364949e-05,4.803816957681222e-05,7.390097162364949e-05,4.803816957681222e-05,False,583747816
SPVC,9.536655198810115e-06,9.536655198810115e-06,1.4216926735521923e-05,4.856384736416777e-06,1.4216926735521923e-05,4.856384736416777e-06,False,583747816
SPVI,1.526566029803349e-05,1.526566029803349e-05,2.1056135527513775e-05,9.475185116164452e-06,2.1056135527513775e-05,9.475185116164452e-06,False,583747816
SPVO,1.9128663506898743e-05,1.9128663506898743e-05,2.538056949798162e-05,1.2876757427403908e-05,2.538056949798162e-05,1.2876757427403908e-05,False,583747816
SS,0.0004786966271015667,0.0004786966271015667,0.0003104030863082805,0.0006469782925550236,0.0003104030863082805,0.0006469782925550236,False,583747816
SSp,0.0005588112645854783,0.0005588112645854783,0.00034940482159515724,0.0007681957349906354,0.00034940482159515724,0.0007681957349906354,False,583747816
SSp-bfd,0.000834948349697655,0.000834948349697655,0.0004448125512889923,0.0012250843495415365,0.0004448125512889923,0.0012250843495415365,False,583747816
SSp-bfd1,0.0030756769778602835,0.0030756769778602835,0.001212589418820013,0.004938764527375747,0.001212589418820013,0.004938764527375747,False,583747816
SSp-bfd2/3,0.00023971525130800795,0.00023971525130800795,0.00013359944643726447,0.00034583105859892454,0.00013359944643726447,0.00034583105859892454,False,583747816
